Date,USD,USD_tradable,EURUSD,EURUSD_tradable,GBPUSD,GBPUSD_tradable,JPYUSD,JPYUSD_tradable,CHFUSD,CHFUSD_tradable
2008-01-01,1.0000000000,True,1.4620096684,True,1.9877158403,True,0.0089429440,True,0.8839388529,True
2008-01-02,1.0000000000,True,1.4716920853,True,1.9818071127,True,0.0091522290,True,0.8934953608,True
2008-01-03,1.0000000000,True,1.4744912386,True,1.9740997553,True,0.0091315860,True,0.8996850901,True
2008-01-04,1.0000000000,True,1.4754921198,True,1.9758158922,True,0.0092055604,True,0.9032607633,True
2008-01-05,1.0000000000,True,1.4754921198,False,1.9758158922,False,0.0092055604,False,0.9032607633,False
2008-01-06,1.0000000000,True,1.4754921198,False,1.9758158922,False,0.0092055604,False,0.9032607633,False
2008-01-07,1.0000000000,True,1.4682993889,True,1.9669938087,True,0.0091549938,True,0.8946144233,True
2008-01-08,1.0000000000,True,1.5570987463,True,1.9718031883,True,0.0092885005,True,0.8991188459,True
2008-01-09,1.0000000000,True,1.4664046764,True,1.9574834108,True,0.0091008375,True,0.8958968166,True
2008-01-10,1.0000000000,True,1.4801001549,True,1.9615919590,True,0.0091224227,True,0.9054690012,True
2008-01-11,1.0000000000,True,1.4790055752,True,1.9594012499,True,0.0091776800,True,0.9090908894,True
2008-01-12,1.0000000000,True,1.4790055752,False,1.9594012499,False,0.0091776800,False,0.9090908894,False
2008-01-13,1.0000000000,True,1.4790055752,False,1.9594012499,False,0.0091776800,False,0.9090908894,False
2008-01-14,1.0000000000,True,1.4869003296,True,1.9543846846,True,0.0092378753,True,0.9149967659,True
2008-01-15,1.0000000000,True,1.4802095890,True,1.9582885504,True,0.0093659271,True,0.9163383031,True
2008-01-16,1.0000000000,True,1.4664046764,True,1.9629011154,True,0.0093157575,True,0.9100009427,True
2008-01-17,1.0000000000,True,1.4640002251,True,1.9683877230,True,0.0093984961,True,0.9086778839,True
2008-01-18,1.0000000000,True,1.4617959261,True,1.9683877230,False,0.0093606663,True,0.9096697676,True
2008-01-19,1.0000000000,True,1.4617959261,False,1.9683877230,False,0.0093606663,False,0.9096697676,False
2008-01-20,1.0000000000,True,1.4617959261,False,1.9683877230,False,0.0093606663,False,0.9096697676,False
2008-01-21,1.0000000000,True,1.4420026541,True,1.9683877230,False,0.0094679036,True,0.9007385671,True
2008-01-22,1.0000000000,True,1.4647936821,True,1.9683877230,False,0.0093405569,True,0.9117432783,True
2008-01-23,1.0000000000,True,1.4632076025,True,1.9569853544,True,0.0093676815,True,0.9159186879,True
2008-01-24,1.0000000000,True,1.4774104357,True,1.9782003164,True,0.0093327110,True,0.9203019047,True
2008-01-25,1.0000000000,True,1.4675022364,True,1.9805903435,True,0.0093632956,True,0.9109127209,True
2008-01-26,1.0000000000,True,1.4675022364,False,1.9805903435,False,0.0093632956,False,0.9109127209,False
2008-01-27,1.0000000000,True,1.4675022364,False,1.9805903435,False,0.0093632956,False,0.9109127209,False
2008-01-28,1.0000000000,True,1.4788086414,True,1.9849147797,True,0.0093484153,True,0.9177680160,True
2008-01-29,1.0000000000,True,1.4771921635,True,1.9892975092,True,0.0093423019,True,0.9141603727,True
2008-01-30,1.0000000000,True,1.4831073284,True,1.9836152792,True,0.0094135364,True,0.9223390309,True
2008-01-31,1.0000000000,True,1.4865025282,True,1.9906044006,True,0.0094116762,True,0.9253261433,True
2008-02-01,1.0000000000,True,1.4799906015,True,1.9664909840,True,0.0093887896,True,0.9185266359,True
2008-02-02,1.0000000000,True,1.4799906015,False,1.9664909840,False,0.0093887896,False,0.9185266359,False
2008-02-03,1.0000000000,True,1.4799906015,False,1.9664909840,False,0.0093887896,False,0.9185266359,False
2008-02-04,1.0000000000,True,1.4827995300,True,1.9748014212,True,0.0093729495,True,0.9191175971,True
2008-02-05,1.0000000000,True,1.4638073444,True,1.9647909403,True,0.0093869392,True,0.9098353250,True
2008-02-06,1.0000000000,True,1.4617104530,True,1.9607843161,True,0.0094002635,True,0.9114939224,True
2008-02-07,1.0000000000,True,1.4478904009,True,1.9428037405,True,0.0093187962,True,0.9064539860,True
2008-02-08,1.0000000000,True,1.5570987463,True,1.9471162558,True,0.0092816040,True,0.9030975897,True
2008-02-09,1.0000000000,True,1.5570987463,False,1.9471162558,False,0.0092816040,False,0.9030975897,False
2008-02-10,1.0000000000,True,1.5570987463,False,1.9471162558,False,0.0092816040,False,0.9030975897,False
2008-02-11,1.0000000000,True,1.4502000809,True,1.9498879910,True,0.0093606663,True,0.9072763306,True
2008-02-12,1.0000000000,True,1.4581936598,True,1.9602077007,True,0.0093161919,True,0.9074410179,True
2008-02-13,1.0000000000,True,1.4556040764,True,1.9622077942,True,0.0092351455,True,0.9024455815,True
2008-02-14,1.0000000000,True,1.4644076824,True,1.9697835445,True,0.0092772984,True,0.9114108341,True
2008-02-15,1.0000000000,True,1.4676098824,True,1.9613995552,True,0.0092764376,True,0.9146620450,True
2008-02-16,1.0000000000,True,1.4676098824,False,1.9613995552,False,0.0092764376,False,0.9146620450,False
2008-02-17,1.0000000000,True,1.4676098824,False,1.9613995552,False,0.0092764376,False,0.9146620450,False
2008-02-18,1.0000000000,True,1.4650082588,True,1.9508007765,True,0.0092455618,True,0.9077704736,True
2008-02-19,1.0000000000,True,1.4729926586,True,1.9482164383,True,0.0092661232,True,0.9138261638,True
