model,block,Date,n_obs,parameter_count,r2,r2_ci_low,r2_ci_high,adjusted_r2,rmse,mae,bias
polynomial,30,2019-07-01,3300,135,-0.3519855848240987,-0.4145162313063664,-0.28945493834183145,-0.4096714425836603,0.016929162465349427,0.012008120288729105,-0.004923949337935841
polynomial,31,2020-01-01,3250,136,-3.7585715885430977,-4.3139585610742195,-3.203184616011974,-3.966462926815459,0.07824201271028713,0.04986568841684709,-0.042883212831255485
polynomial,32,2020-07-01,3300,136,-0.7055862100796013,-0.7868383745700439,-0.6243340455891583,-0.77892156403813,0.025036533857881675,0.018482932277762397,0.010176422119879533
polynomial,33,2021-01-01,3225,135,-0.44730310902614856,-0.511676399862976,-0.38292981818932115,-0.5105552682098746,0.01987841407742159,0.015031877903834378,0.0015051345042897644
polynomial,34,2021-07-01,3300,135,-0.16266724929086007,-0.20223871462326912,-0.12309578395845058,-0.21227536517400347,0.015946864662020107,0.011479184304179909,-0.0002226800449577708
polynomial,35,2022-01-03,3225,135,-1.7540962459133098,-2.025320584097472,-1.482871907729148,-1.8744597917852088,0.03836691794244894,0.02779473927871496,0.01680849656954362
polynomial,36,2022-07-01,3275,136,-0.9228092369973302,-1.0234788806213622,-0.8221395933732981,-1.0061432255988718,0.02528361321930239,0.01969707996800648,0.011969770323788034
polynomial,37,2023-01-02,3250,135,-0.8367242789492222,-0.9535814113726505,-0.7198671465257943,-0.916351054048177,0.02496373247670892,0.018132413308034168,-0.0076640883134284675
polynomial,38,2023-07-03,3250,135,-0.378577589549814,-0.43721788478777684,-0.3199372943118512,-0.43834251395226254,0.017497048339781773,0.01290378092046599,0.004382237181462026
polynomial,39,2024-01-01,3250,135,-0.04340561776159446,-0.07290737825568491,-0.013903857267504007,-0.08863996535241503,0.014682283411207262,0.010580965049073594,-0.0014447326913211006
polynomial,40,2024-07-01,3300,136,-1.3948385544883082,-1.8339640951780039,-0.9557130137986125,-1.4978097980578338,0.02576925036115195,0.013930063196319713,-0.002070528728256265
polynomial,41,2025-01-02,3200,135,-0.8029320775969939,-1.021235416457913,-0.5846287387360745,-0.8823693590838066,0.027031072837654,0.016655840743114946,-0.0037135604186684895
polynomial,42,2025-07-01,3275,136,-0.09775145973706167,-0.11990772723182307,-0.07559519224230028,-0.14532768616288716,0.01483266415397138,0.010404641779214104,6.895222775896879e-05
gaussian,1,2005-01-03,3225,96,0.007100391634626613,-0.0023187405037191824,0.01651952377297263,-0.023372230616996115,0.01160654770769481,0.006910993195030268,-0.001363061473407997
gaussian,2,2005-07-01,3275,96,0.015488777233157336,-0.0009381481857602958,0.03191570265207497,-0.014251020559673755,0.01220565532082728,0.007292239146556436,0.0003974540636705054
gaussian,3,2006-01-02,3250,96,0.02487082654748274,0.00541432388706025,0.044327329207905004,-0.0048191197422227106,0.014885005155694436,0.009525665436762962,0.0005989306149452449
gaussian,4,2006-07-03,3250,96,0.007889945160769685,-0.029006836531377027,0.044786726852916396,-0.02231702130436375,0.011649188324481186,0.00720316848801777,-0.00019335969454633832
gaussian,5,2007-01-01,3250,96,-0.014239859802616106,-0.03674819225605067,0.00826847265081846,-0.045120616713828055,0.012303284851058518,0.0081644310243735,-0.0008878748247020394
gaussian,6,2007-07-02,3275,96,-0.06316935364132759,-0.08082074210091261,-0.04551796518174255,-0.09528523090676733,0.020606162274588766,0.014271706465050358,-0.001352252327878653
gaussian,7,2008-01-01,3250,96,0.031885095797774876,0.018054073336173572,0.04571611825937596,0.002408714318734795,0.026397306610806966,0.018300196806888918,-0.001436010481360383
gaussian,8,2008-07-01,3300,96,-0.07470603344109006,-0.09649834408173215,-0.05291372280044797,-0.10691701664756659,0.05799991641563839,0.03788418446759323,-0.00885321344269547
gaussian,9,2009-01-01,3225,96,-0.03231761947940326,-0.04281585576184547,-0.02181938319696105,-0.06400000166291431,0.06030185387167465,0.0380598848093182,0.0035713613997558516
gaussian,10,2009-07-01,3300,96,-0.07993336908133486,-0.1079775928493214,-0.05188914531334832,-0.11230102547590493,0.024773742946659787,0.01785681569160914,0.00522770145461447
gaussian,11,2010-01-01,3225,96,-0.052721265984641885,-0.07002947429101056,-0.03541305767827321,-0.08502984703787897,0.026234072957103827,0.0179183734995465,-0.0007982178454345061
gaussian,12,2010-07-01,3300,96,-0.06023746641588179,-0.07462754768629024,-0.04584738514547291,-0.09201479915891175,0.019744561143910978,0.013674763354656781,-2.583503571506809e-06
gaussian,13,2011-01-03,3225,96,-0.08061776940383791,-0.10333711264360138,-0.05789842616407445,-0.11378250912978682,0.018312883014030355,0.012733941620208052,0.0029660279959120863
gaussian,14,2011-07-01,3275,96,0.00879823257123491,-0.0010121951790996644,0.018608660321569485,-0.021143671038948098,0.034638352666575965,0.023359035050470885,-0.0008474204665271797
gaussian,15,2012-01-02,3250,96,-0.004607936640560917,-0.020694378797183305,0.011478505516061027,-0.03519542852685764,0.02438381940613101,0.01647168322608224,0.0016439094264593557
gaussian,16,2012-07-02,3275,96,-0.010507642374722126,-0.0247526288902905,0.0037373441408462497,-0.04103273163462551,0.01958106447652624,0.01284585628532394,0.001691436819714083
gaussian,17,2013-01-01,3225,96,0.04294154628834401,0.024530830891187485,0.061352261685500536,0.013568908322768913,0.01765259586215873,0.012136027162073218,0.0012701364544930541
gaussian,18,2013-07-01,3300,96,-0.06187341412089853,-0.08755387557928546,-0.0361929526625116,-0.09369977932714457,0.014696390402388812,0.009903274929926695,0.003743487897453335
gaussian,19,2014-01-01,3225,96,0.013288575008144954,-0.0009088252820222201,0.02748597529831235,-0.016994128572167755,0.012967730013629776,0.009067442285241135,-0.0005152774045937037
gaussian,20,2014-07-01,3300,96,-0.036683179091722584,-0.054470253359017465,-0.018896104824428148,-0.0677545450588799,0.014319377556606677,0.009676187308170806,-0.0009096466863272092
gaussian,21,2015-01-01,3225,96,-0.009672395836618497,-0.02239900236572858,0.0030542106924915883,-0.040659783944136274,0.014525655189479797,0.010052543984699349,0.0002863106343728582
gaussian,22,2015-07-01,3300,96,-0.0053644597531257165,-0.021435304696489767,0.01070638519023789,-0.03549714415409366,0.016417661494012897,0.011414982296502292,-0.0024709113943042317
gaussian,23,2016-01-01,3250,96,-0.007910602563990787,-0.023679077117344925,0.00785787198936335,-0.03859865135756624,0.02791872150592222,0.0179173022895357,-0.001948532079807407
