Date,strategy,rolling_return
2006-07-05,equal_weight,0.2784801618748808
2006-07-06,equal_weight,0.2849648135889509
2006-07-07,equal_weight,0.28130913879765096
2006-07-10,equal_weight,0.27539427087427654
2006-07-11,equal_weight,0.27791469483866155
2006-07-12,equal_weight,0.2714791244591561
2006-07-13,equal_weight,0.2573852654230327
2006-07-14,equal_weight,0.23805680185659805
2006-07-17,equal_weight,0.22439421587106892
2006-07-18,equal_weight,0.22678077786012843
2006-07-19,equal_weight,0.2526825335768603
2006-07-20,equal_weight,0.24779983988504414
2006-07-21,equal_weight,0.23335595406411153
2006-07-24,equal_weight,0.25526382151107563
2006-07-25,equal_weight,0.2586632942773566
2006-07-26,equal_weight,0.26463602674965303
2006-07-27,equal_weight,0.2660079984054761
2006-07-28,equal_weight,0.2690450990586335
2006-07-31,equal_weight,0.259182631289509
2006-08-01,equal_weight,0.2553192148861595
2006-08-02,equal_weight,0.254909278142523
2006-08-03,equal_weight,0.26755626269915894
2006-08-04,equal_weight,0.28793562360610153
2006-08-07,equal_weight,0.2800586050015149
2006-08-08,equal_weight,0.27072363050889503
2006-08-09,equal_weight,0.26545958585779295
2006-08-10,equal_weight,0.26851164736381483
2006-08-11,equal_weight,0.26652005726814293
2006-08-14,equal_weight,0.27872815989959704
2006-08-15,equal_weight,0.3005518138260536
2006-08-16,equal_weight,0.30999749789438463
2006-08-17,equal_weight,0.31497690960304087
2006-08-18,equal_weight,0.3004998943723545
2006-08-21,equal_weight,0.2842103015714525
2006-08-22,equal_weight,0.2825547591753811
2006-08-23,equal_weight,0.2685313178318948
2006-08-24,equal_weight,0.2646557544957153
2006-08-25,equal_weight,0.2625156678861154
2006-08-28,equal_weight,0.2684487355313326
2006-08-29,equal_weight,0.2692496966115412
2006-08-30,equal_weight,0.2764974149690157
2006-08-31,equal_weight,0.2821766602343288
2006-09-01,equal_weight,0.28964760778746457
2006-09-04,equal_weight,0.2998601948202435
2006-09-05,equal_weight,0.28856589333064553
2006-09-06,equal_weight,0.28549964863150873
2006-09-07,equal_weight,0.2666059247166334
2006-09-08,equal_weight,0.2786461731908187
2006-09-11,equal_weight,0.27707859725468703
2006-09-12,equal_weight,0.2889562692387383
2006-09-13,equal_weight,0.2787712018694848
2006-09-14,equal_weight,0.28948206032938023
2006-09-15,equal_weight,0.27645466706854827
2006-09-18,equal_weight,0.2744167666704178
2006-09-19,equal_weight,0.2696776314626909
2006-09-20,equal_weight,0.2805415286065704
2006-09-21,equal_weight,0.2920899481017849
2006-09-22,equal_weight,0.2912447524306636
2006-09-25,equal_weight,0.2941245999477508
2006-09-26,equal_weight,0.2966545067481345
2006-09-27,equal_weight,0.3033944815224409
2006-09-28,equal_weight,0.3042065742040387
2006-09-29,equal_weight,0.3077022177557521
2006-10-02,equal_weight,0.3127456449847339
2006-10-03,equal_weight,0.305396237699727
2006-10-04,equal_weight,0.3238742468867126
2006-10-05,equal_weight,0.3374193914582616
2006-10-06,equal_weight,0.33751247950542557
2006-10-09,equal_weight,0.3333115627515893
2006-10-10,equal_weight,0.3377610791469902
2006-10-11,equal_weight,0.3207119027488663
2006-10-12,equal_weight,0.3257243708765309
2006-10-13,equal_weight,0.3202346045971225
2006-10-16,equal_weight,0.3242233501524132
2006-10-17,equal_weight,0.3109541522293146
2006-10-18,equal_weight,0.302868208367134
2006-10-19,equal_weight,0.2964206266006384
2006-10-20,equal_weight,0.2845339020916182
2006-10-23,equal_weight,0.2852803277794525
2006-10-24,equal_weight,0.2924010577086678
2006-10-25,equal_weight,0.2907433706468733
2006-10-26,equal_weight,0.30108731775333203
2006-10-27,equal_weight,0.3015740569172359
2006-10-30,equal_weight,0.2920210083887194
2006-10-31,equal_weight,0.2774088369941481
2006-11-01,equal_weight,0.2892316405077415
2006-11-02,equal_weight,0.279934250544042
2006-11-03,equal_weight,0.2833176233237186
2006-11-06,equal_weight,0.2798444375769195
2006-11-07,equal_weight,0.277178449801815
2006-11-08,equal_weight,0.27203990952999957
2006-11-09,equal_weight,0.2643870485615069
2006-11-10,equal_weight,0.257698089126242
