"strategy","min_weight","max_weight","mean_daily","vol_daily","sharpe_annualized","cumulative_return","max_drawdown","n_days","mean_top_weight","max_single_asset_weight","mean_effective_assets","mean_zero_weight_share"
"linear","0.01","0.071999999999999995","0.00085064848047610039","0.015493084263839762","0.87159056033570992","104.44094984290221","-0.57756287516064719","5476","0.071239171796708023","0.071999999999999995","17.287775025345468","0"
"linear","0.01","0.072999999999999995","0.00085488899424534647","0.01550715191400519","0.87514084722284657","106.91804888749634","-0.5786085563834007","5476","0.072173487236988451","0.072999999999999995","17.142991400221437","0"
"linear","0.01","0.073999999999999996","0.00085940083095995261","0.015520922605223307","0.87897901422835412","109.61757144975464","-0.57983743133280463","5476","0.073105732773556309","0.073999999999999996","17.036430472166423","0"
"linear","0.01","0.074999999999999997","0.00086346234220801557","0.015535782155752026","0.88228835898266067","112.10536138477136","-0.58076234321790499","5476","0.07403496032484963","0.074999999999999997","16.913046226060505","0"
"linear","0.01","0.075999999999999998","0.00086854118039729966","0.015550977084578272","0.88661077214058315","115.29516717611095","-0.58077842710120198","5476","0.074960674943302219","0.075999999999999998","16.774058223124264","0"
"linear","0.01","0.076999999999999999","0.00087345005410663715","0.015566384093430204","0.89073927969337552","118.46369244426755","-0.58061219321365498","5476","0.075883379115634197","0.076999999999999999","16.621027764553286","0"
"linear","0.01","0.078","0.00087783947330850117","0.015582036563626517","0.89431632171822129","121.36996498257835","-0.58069904804702266","5476","0.076803141281110515","0.078","16.455367336512349","0"
"linear","0.01","0.079000000000000001","0.00088257531146935196","0.015598357870391334","0.89820023626936885","124.58494793945327","-0.57984266874336576","5476","0.077719797981230687","0.079000000000000001","16.357030527120099","0"
"linear","0.01","0.080000000000000002","0.00088699355359368899","0.015615616624811141","0.90169901594445379","127.66044175437773","-0.5792583367783275","5476","0.078633165434184069","0.080000000000000002","16.263392317418454","0"
"linear","0.01","0.081000000000000003","0.00089130950566969781","0.01563266807719654","0.90509820136071217","130.73744029489362","-0.57842291745276964","5476","0.07954386981808971","0.081000000000000003","16.157770749812766","0"
"linear","0.01","0.082000000000000003","0.00089606378961504523","0.015649738317478849","0.90893351623278951","134.21218860266913","-0.57778716316465062","5476","0.080451160276961142","0.082000000000000003","16.04118073148128","0"
"linear","0.01","0.083000000000000004","0.00090050013013670018","0.015668361979842664","0.91234785218318015","137.53717658829638","-0.57748386885963721","5476","0.081355393779403318","0.083000000000000004","15.914413259852031","0"
"linear","0.01","0.084000000000000005","0.00090452974985256551","0.015688516972533664","0.91525315328113932","140.62814281321997","-0.57713091894469293","5476","0.082255329888698783","0.084000000000000005","15.778913810075736","0"
"linear","0.01","0.085000000000000006","0.00090902843609014423","0.015708311700870732","0.91864608586058727","144.16045488639253","-0.57643038499374732","5476","0.083151641371748325","0.085000000000000006","15.636141153248607","0"
"linear","0.01","0.085999999999999993","0.00091153261974231015","0.015719331597126896","0.92053098143262846","146.16473796197619","-0.57603585596882745","5476","0.084044551145947263","0.085999999999999993","15.565386007214485","0"
"linear","0.01","0.086999999999999994","0.00091368089360356652","0.015730947703778135","0.92201911836464279","147.90619938447426","-0.57628603512230403","5476","0.084933932657768996","0.086999999999999994","15.486666456827397","0"
"linear","0.01","0.087999999999999995","0.0009156678112020412","0.015743835553617268","0.9232677654959982","149.53519853342112","-0.57669331163600357","5476","0.085819776431340755","0.087999999999999995","15.399887464542342","0"
"linear","0.01","0.088999999999999996","0.00091777350749505508","0.015757284377883429","0.92460111875250184","151.28103482661513","-0.57732015451482488","5476","0.086702699395649216","0.088999999999999996","15.3058021480263","0"
"linear","0.01","0.089999999999999997","0.00091973282283285462","0.015771596021990589","0.92573420665083817","152.92368656903358","-0.57843241984258276","5476","0.087582216651355682","0.089999999999999997","15.205179022294312","0"
"linear","0.01","0.090999999999999998","0.0009215063003860086","0.015787385537155724","0.92659161201677087","154.42580832997348","-0.57923755603274774","5476","0.088458266609660607","0.090999999999999998","15.098339530039851","0"
"linear","0.01","0.091999999999999998","0.0009234067539222175","0.01580469039740675","0.92748591781455159","156.051752451167","-0.57948774150355309","5476","0.08933150531631831","0.091999999999999998","14.986103516829314","0"
"linear","0.01","0.092999999999999999","0.0009256657043760823","0.015822370076979762","0.92871595306334975","158.00655013088326","-0.57970624759027167","5476","0.090201305127614012","0.092999999999999999","14.868458019936732","0"
"linear","0.01","0.094","0.00092813986395635809","0.015839553040615423","0.93018808887492521","160.17550993083827","-0.58043766433770883","5476","0.091068300544543346","0.094","14.789845393549433","0"
"linear","0.01","0.095000000000000001","0.00093037203644107591","0.015857151877362769","0.93139034836608692","162.15770877684585","-0.58198478629706618","5476","0.091933155495109678","0.095000000000000001","14.727126127398913","0"
"linear","0.01","0.096000000000000002","0.00093244066925620816","0.015875153789402199","0.93240273041819355","164.01643992510756","-0.58362028653599451","5476","0.092794330937290823","0.096000000000000002","14.658814442542271","0"
"linear","0.01","0.097000000000000003","0.00093494848471455528","0.015892060468048468","0.93391584465138211","166.29820894666761","-0.58459951221615913","5476","0.093652627567498925","0.097000000000000003","14.585264376562444","0"
"linear","0.01","0.098000000000000004","0.00093753562565247772","0.015907928589501366","0.93556597144024078","168.68522212090778","-0.58507330135862579","5476","0.094508504083965175","0.098000000000000004","14.507296043150882","0"
"linear","0.01","0.099000000000000005","0.00094028883001169767","0.015923366444552001","0.93740368788686701","171.26287156075867","-0.58516865341397573","5476","0.095361538817951452","0.099000000000000005","14.42512084534166","0"
"linear","0.01","0.10000000000000001","0.00094280879902183725","0.015938952964308129","0.93899679170182015","173.6564642987409","-0.58546130980988109","5476","0.096211671894978479","0.10000000000000001","14.338899166060205","0"
"linear","0.01","0.10100000000000001","0.00094524954722039682","0.015955650447408432","0.94044247349920329","176.00651159666995","-0.58674138892433803","5476","0.097058673021234249","0.10100000000000001","14.249165924692658","0"
"linear","0.01","0.10199999999999999","0.00094809049938430914","0.01597269123040827","0.94226263272847433","178.78174270286038","-0.58777157181491935","5476","0.097902666292581791","0.10199999999999999","14.156477551631202","0"
"linear","0.01","0.10299999999999999","0.00095098157242804458","0.01598935443258535","0.94415096719183988","181.65060957250256","-0.58846940837328843","5476","0.098742507565593871","0.10299999999999999","14.06121342266092","0"
"linear","0.01","0.104","0.00095393939324093504","0.016003099061902493","0.94627411500006708","184.63309488001616","-0.58854929904189257","5476","0.09958051720911669","0.104","13.976717752793437","0"
"linear","0.01","0.105","0.0009560478502452566","0.016008612554628439","0.94803900510249317","186.78881894036931","-0.58779405188406708","5476","0.10041644127410154","0.105","13.927793997490031","0"
"linear","0.01","0.106","0.00095820767722053668","0.01601459791805563","0.94982561457385362","189.02302337166608","-0.5871555388047015","5476","0.10124923475740832","0.106","13.875593181284099","0"
"linear","0.01","0.107","0.00096032508769965347","0.016021477007349964","0.95151577797626596","191.23915199568307","-0.58661625577572152","5476","0.10207938187003729","0.107","13.820224934098183","0"
"linear","0.01","0.108","0.00096218765971734074","0.01602951863913742","0.95288298525886905","193.20991780545091","-0.5857704207453498","5476","0.1029055424470576","0.108","13.761701690294091","0"
"linear","0.01","0.109","0.00096400284795776546","0.016039136610322906","0.95410813966609487","195.14998484960256","-0.58489907890874415","5476","0.10372877551147086","0.109","13.70021641430627","0"
"linear","0.01","0.11","0.00096576010922528536","0.016049186673811153","0.95524880871109519","197.04660031272996","-0.58407900318829886","5476","0.10454964332964883","0.11","13.636029742722881","0"
"linear","0.01","0.111","0.0009676622926329283","0.016059282506524802","0.95652857904248623","199.12030575115637","-0.58315922006659826","5476","0.10536695848141509","0.111","13.569578320565688","0"
